🕘️更新时间,#genre#
CCTV-5 体育,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv5$订阅源
CCTV-5 体育,http://219.145.93.74:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+ 体育赛事,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000507/index.m3u8?$订阅源-IPv6
CCTV-5+ 体育赛事,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000507/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000507$订阅源-IPv6
CCTV-5+ 体育赛事,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031127/index.m3u8?channel-id=bestzb&Contentid=5000000011000031127&livemode=1&stbId=3$订阅源-IPv6
CCTV-5+ 体育赛事,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000015875/1.m3u8?channel-id=wasusyt&Contentid=6000000001000015875&livemode=1&stbId=3$订阅源-IPv6
CCTV-5+ 体育赛事,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000011000031127/index.m3u8?channel-id=bestzb&Contentid=5000000011000031127&livemode=1&stbId=3$订阅源-IPv6
CCTV-5+ 体育赛事,http://221.199.193.3:9901/tsfile/live/1002_1.m3u8$订阅源
CCTV-5+ 体育赛事,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv5p$订阅源
CCTV-5+ 体育赛事,http://221.199.193.53:9901/tsfile/live/1002_1.m3u8$订阅源
CCTV-5+ 体育赛事,http://z.b.bkpcp.top/m.php?id=cctv5p$订阅源
CCTV-5+ 体育赛事,http://182.32.204.113:3217/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6 电影,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000006/index.m3u8?$订阅源-IPv6
CCTV-6 电影,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000006/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000006$订阅源-IPv6
CCTV-6 电影,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000008886/index.m3u8?channel-id=bestzb&Contentid=5000000004000008886&livemode=1&stbId=3$订阅源-IPv6
CCTV-6 电影,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000004000008886/index.m3u8?channel-id=bestzb&Contentid=5000000004000008886&livemode=1&stbId=3$订阅源-IPv6
CCTV-6 电影,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000004574/1.m3u8?channel-id=wasusyt&Contentid=6000000001000004574&livemode=1&stbId=3$订阅源-IPv6
CCTV-6 电影,http://43.138.11.122/cctv.php?id=cctv6$订阅源
CCTV-6 电影,http://113.140.86.162:8009/hls/6/index.m3u8$订阅源
CCTV-6 电影,http://221.199.193.3:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6 电影,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv6$订阅源
CCTV-6 电影,http://43.138.11.122:215/cctv.php?id=cctv6$订阅源
CCTV-7 国防军事,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000504/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000504$订阅源-IPv6
CCTV-7 国防军事,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000504/index.m3u8?$订阅源-IPv6
CCTV-7 国防军事,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031104/index.m3u8?channel-id=bestzb&Contentid=5000000011000031104&livemode=1&stbId=3$订阅源-IPv6
CCTV-7 国防军事,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000009055/1.m3u8?channel-id=wasusyt&Contentid=6000000001000009055&livemode=1&stbId=3$订阅源-IPv6
CCTV-7 国防军事,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265007/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=3$订阅源-IPv6
CCTV-7 国防军事,http://112.46.85.60:8009/hls/504/index.m3u8$订阅源
CCTV-7 国防军事,http://113.140.86.162:8009/hls/504/index.m3u8$订阅源
CCTV-7 国防军事,http://221.199.193.3:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-7 国防军事,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv7$订阅源
CCTV-7 国防军事,http://219.145.93.74:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8 电视剧,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000008/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000008$订阅源-IPv6
CCTV-8 电视剧,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000008/index.m3u8?$订阅源-IPv6
CCTV-8 电视剧,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000008888/index.m3u8?channel-id=bestzb&Contentid=5000000004000008888&livemode=1&stbId=3$订阅源-IPv6
CCTV-8 电视剧,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000004000008888/index.m3u8?channel-id=bestzb&Contentid=5000000004000008888&livemode=1&stbId=3$订阅源-IPv6
CCTV-8 电视剧,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265008/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=3$订阅源-IPv6
CCTV-8 电视剧,http://112.46.85.60:8009/hls/8/index.m3u8$订阅源
CCTV-8 电视剧,http://113.140.86.162:8009/hls/8/index.m3u8$订阅源
CCTV-8 电视剧,http://221.199.193.3:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8 电视剧,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv8$订阅源
CCTV-8 电视剧,http://219.145.93.74:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9 纪录,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000505/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000505$订阅源-IPv6
CCTV-9 纪录,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000505/index.m3u8?$订阅源-IPv6
CCTV-9 纪录,http://[2409:8087:5e08:24::2]:6610/000000001000/6000000001000032162/index.m3u8?channel-id=wasusyt&Contentid=6000000001000032162&livemode=1&stbId=3$订阅源-IPv6
CCTV-9 纪录,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000032162/index.m3u8?channel-id=wasusyt&Contentid=6000000001000032162&livemode=1&stbId=3$订阅源-IPv6
CCTV-9 纪录,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265009/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=3$订阅源-IPv6
CCTV-9 纪录,http://112.46.85.60:8009/hls/509/index.m3u8$订阅源
CCTV-9 纪录,http://113.140.86.162:8009/hls/509/index.m3u8$订阅源
CCTV-9 纪录,http://221.199.193.3:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9 纪录,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv9$订阅源
CCTV-9 纪录,http://219.145.93.74:9999/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-10 科教,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000506/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000506$订阅源-IPv6
CCTV-10 科教,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000506/index.m3u8?$订阅源-IPv6
CCTV-10 科教,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000012827/index.m3u8?channel-id=bestzb&Contentid=5000000004000012827&livemode=1&stbId=3$订阅源-IPv6
CCTV-10 科教,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265010/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265010&livemode=1&stbId=3$订阅源-IPv6
CCTV-10 科教,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8$订阅源-IPv6
CCTV-10 科教,http://113.140.86.162:8009/hls/506/index.m3u8$订阅源
CCTV-10 科教,http://221.199.193.3:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10 科教,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv10$订阅源
CCTV-10 科教,http://219.145.93.74:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-10 科教,http://221.199.193.53:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-11 戏曲,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000508/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000508$订阅源-IPv6
CCTV-11 戏曲,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000508/index.m3u8?$订阅源-IPv6
CCTV-11 戏曲,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031106/index.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=3$订阅源-IPv6
CCTV-11 戏曲,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265011/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=3$订阅源-IPv6
CCTV-11 戏曲,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000011000031106/1.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=3$订阅源-IPv6
CCTV-11 戏曲,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv11$订阅源
CCTV-11 戏曲,http://219.145.93.74:9999/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11 戏曲,http://221.199.193.53:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-11 戏曲,http://z.b.bkpcp.top/m.php?id=cctv11$订阅源
CCTV-11 戏曲,http://123.163.114.115:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-12 社会与法,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000509/index.m3u8?$订阅源-IPv6
CCTV-12 社会与法,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000509/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000509$订阅源-IPv6
CCTV-12 社会与法,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031107/index.m3u8?channel-id=bestzb&Contentid=5000000011000031107&livemode=1&stbId=3$订阅源-IPv6
CCTV-12 社会与法,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000022586/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022586&livemode=1&stbId=3$订阅源-IPv6
CCTV-12 社会与法,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265012/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265012&livemode=1&stbId=3$订阅源-IPv6
CCTV-12 社会与法,http://112.46.85.60:8009/hls/507/index.m3u8$订阅源
CCTV-12 社会与法,http://113.140.86.162:8009/hls/507/index.m3u8$订阅源
CCTV-12 社会与法,http://221.199.193.3:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12 社会与法,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv12$订阅源
CCTV-12 社会与法,http://219.145.93.74:9999/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13 新闻,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000510/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000510$订阅源-IPv6
CCTV-13 新闻,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000510/index.m3u8?$订阅源-IPv6
CCTV-13 新闻,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031108/index.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=3$订阅源-IPv6
CCTV-13 新闻,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000011000031108/1.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=3$订阅源-IPv6
CCTV-13 新闻,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8$订阅源-IPv6
CCTV-13 新闻,http://221.199.193.3:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13 新闻,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv13$订阅源
CCTV-13 新闻,http://219.145.93.74:9999/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13 新闻,http://221.199.193.53:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13 新闻,http://z.b.bkpcp.top/m.php?id=cctv13$订阅源
CCTV-14 少儿,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000511/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000511$订阅源-IPv6
CCTV-14 少儿,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000511/index.m3u8?$订阅源-IPv6
CCTV-14 少儿,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000006673/index.m3u8?channel-id=bestzb&Contentid=5000000004000006673&livemode=1&stbId=3$订阅源-IPv6
CCTV-14 少儿,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265013/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=3$订阅源-IPv6
CCTV-14 少儿,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$订阅源-IPv6
CCTV-14 少儿,http://221.199.193.3:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14 少儿,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv14$订阅源
CCTV-14 少儿,http://219.145.93.74:9999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-14 少儿,http://221.199.193.53:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14 少儿,http://z.b.bkpcp.top/m.php?id=cctv14$订阅源
CCTV-15 音乐,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000512/index.m3u8?$订阅源-IPv6
CCTV-15 音乐,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000512/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000512$订阅源-IPv6
CCTV-15 音乐,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031109/index.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=3$订阅源-IPv6
CCTV-15 音乐,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000011000031109/1.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=3$订阅源-IPv6
CCTV-15 音乐,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265014/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=3$订阅源-IPv6
CCTV-15 音乐,http://221.199.193.3:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15 音乐,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv15$订阅源
CCTV-15 音乐,http://219.145.93.74:9999/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-15 音乐,http://221.199.193.53:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15 音乐,http://z.b.bkpcp.top/m.php?id=cctv15$订阅源
CCTV-16 奥林匹克,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000016/index.m3u8?$订阅源-IPv6
CCTV-16 奥林匹克,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000016/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000016$订阅源-IPv6
CCTV-16 奥林匹克,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000008000023253/index.m3u8?channel-id=bestzb&Contentid=5000000008000023253&livemode=1&stbId=3$订阅源-IPv6
CCTV-16 奥林匹克,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000008000023254/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3$订阅源-IPv6
CCTV-16 奥林匹克,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000006000233002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=3$订阅源-IPv6
CCTV-16 奥林匹克,http://182.32.204.113:3217/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-16 奥林匹克,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000016$订阅源
CCTV-16 奥林匹克,http://116.1.184.67:8181/tsfile/live/1003_1.m3u8$订阅源
CCTV-16 奥林匹克,http://219.159.194.18:8181/tsfile/live/1021_1.m3u8$订阅源
CCTV-16 奥林匹克,http://222.217.230.195:8181/tsfile/live/1000_1.m3u8$订阅源
CCTV-17 农业农村,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000005000056836/index.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=3$订阅源-IPv6
CCTV-17 农业农村,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265015/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265015&livemode=1&stbId=3$订阅源-IPv6
CCTV-17 农业农村,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$订阅源-IPv6
CCTV-17 农业农村,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225765/index.m3u8$订阅源-IPv6
CCTV-17 农业农村,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$订阅源-IPv6
CCTV-17 农业农村,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv17$订阅源
CCTV-17 农业农村,http://36.40.236.234:9999/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-17 农业农村,http://z.b.bkpcp.top/m.php?id=cctv17$订阅源
CCTV-17 农业农村,http://182.32.204.113:3217/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-17 农业农村,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000513$订阅源

央视付费,#genre#
风云足球,http://112.234.21.109:9901/tsfile/live/1031_1.m3u8$订阅源
风云足球,http://120.238.94.10:9901/tsfile/live/1087_1.m3u8$订阅源
风云足球,http://106.115.26.161:9999/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1$订阅源
风云足球,http://113.236.31.149:9901/tsfile/live/1122_1.m3u8$订阅源
风云足球,http://163.177.122.122:9901/tsfile/live/1095_1.m3u8$订阅源
风云足球,http://113.195.5.165:9901/tsfile/live/1049_1.m3u8$订阅源
风云足球,http://113.236.17.12:9901/tsfile/live/1122_1.m3u8$订阅源
风云足球,http://183.11.239.36:808/hls/133/index.m3u8$订阅源

卫视频道,#genre#
湖南卫视,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000523/index.m3u8?$订阅源-IPv6
湖南卫视,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000523/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000523$订阅源-IPv6
湖南卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/6000000001000018044/index.m3u8?channel-id=wasusyt&Contentid=6000000001000018044&livemode=1&stbId=3$订阅源-IPv6
湖南卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000018044/1.m3u8?channel-id=wasusyt&Contentid=6000000001000018044&livemode=1&stbId=3$订阅源-IPv6
湖南卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000018044/index.m3u8?channel-id=wasusyt&Contentid=6000000001000018044&livemode=1&stbId=3$订阅源-IPv6
湖南卫视,http://113.140.86.162:8009/hls/32/index.m3u8$订阅源
湖南卫视,http://219.145.93.74:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
湖南卫视,http://221.199.193.53:9901/tsfile/live/0128_1.m3u8$订阅源
湖南卫视,http://123.163.114.115:9901/tsfile/live/0128_1.m3u8$订阅源
湖南卫视,http://182.32.204.113:3217/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
浙江卫视,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000531/index.m3u8?$订阅源-IPv6
浙江卫视,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000531/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000531$订阅源-IPv6
浙江卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/6000000001000032070/index.m3u8?channel-id=wasusyt&Contentid=6000000001000032070&livemode=1&stbId=3$订阅源-IPv6
浙江卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000032070/index.m3u8?channel-id=wasusyt&Contentid=6000000001000032070&livemode=1&stbId=3$订阅源-IPv6
